,category,info_authority,info_display_parents,info_fossil_range,info_grandparent_authority,info_greatgrandparent_authority,info_image,info_image2,info_image2_alt,info_image2_caption,info_image_alt,info_image_caption,info_image_upright,info_image_widt,info_name,info_parent_authority,info_subdivision,info_subdivision_ranks,info_synonyms,info_synonyms_ref,info_taxon,info_type_genus,info_type_genus_authority,info_type_species,info_type_species_authority,ns,pageid,title,views,jp_cloned,jp_skeleton,jurassic,cretaceous,triassic,paleocene,permian
976,Category:Late Cretaceous dinosaurs of Asia|Category:Late Cretaceous dinosaurs of Asia,"Osmolska, 1996",,", {{fossil range|70}}",,,,,,,,,,,,,,,,,Bagaraatan,,,{{extinct}}'''''Bagaraatan ostromi''''',"Osmolska, 1996",0,4304676,Bagaraatan,24.32054794520548,False,False,False,True,False,False,False
122,Category:Middle Jurassic dinosaurs of Europe|Category:Middle Jurassic dinosaurs of Europe|Category:Middle Jurassic dinosaurs of Europe,", 1932",,", {{fossilrange|173|169}}",,,Magnosaurus OUMNH J. 12143.png,,,,,Skeletal diagram of the ,,,,,"{{extinct}}'''''M. nethercombensis''''' 
{{extinct}}'''''M. lydekkeri''''' 
{{extinct}}'''''M. woodwardi'''''",,,,Magnosaurus,,,{{extinct}}'''''Megalosaurus nethercombensis''''',"Huene, 1923",0,4317059,Magnosaurus,24.29041095890411,False,False,True,False,False,False,False
138,Category:Middle Jurassic dinosaurs of Asia|Category:Middle Jurassic dinosaurs of Asia,,,,,,,,,,,,,,,,,,,,,,,,,0,3597845,Xuanhanosaurus,24.246575342465754,False,False,True,False,False,False,False
478,Category:Late Cretaceous dinosaurs|Category:Cretaceous dinosaurs of Australia,,,,,,,,,,,,,,,,,,,,,,,,,0,23472957,Diamantinasaurus,24.246575342465754,False,False,False,True,False,False,False
653,Category:Late Cretaceous dinosaurs of North America|Category:Late Cretaceous dinosaurs of North America|Category:Late Cretaceous dinosaurs of North America,,,,,,,,,,,,,,,,,,,,,,,,,0,3665846,Parksosaurus,24.134246575342466,False,False,False,True,False,False,False
1356,Category:Early Cretaceous dinosaurs of Asia|Category:Early Cretaceous dinosaurs of Asia,,,,,,,,,,,,,,,,,,,,,,,,,0,3512715,Altirhinus,23.980821917808218,False,False,False,True,False,False,False
1238,Category:Early Cretaceous dinosaurs of Australia|Category:Early Cretaceous dinosaurs of Australia,,,,,,,,,,,,,,,,,,,,,,,,,0,2906082,Atlascopcosaurus,23.975342465753425,False,False,False,True,False,False,False
856,Category:Late Cretaceous dinosaurs of Asia|Category:Late Cretaceous dinosaurs of Asia,,,,,,,,,,,,,,,,,,,,,,,,,0,874353,Shuvuuia,23.972602739726028,False,False,False,True,False,False,False
485,Category:Late Cretaceous dinosaurs,,,,,,,,,,,,,,,,,,,,,,,,,0,57941007,Akainacephalus,23.936986301369863,False,False,False,True,False,False,False
376,Category:Early Jurassic dinosaurs of Asia|Category:Early Jurassic dinosaurs of Asia,", 1941",, {{fossil range|190}},,,Lufengosaurus holotype specimen.jpg,,,,,Holotype of ''L. huenei'' on display at the .,1.15,,,,"*{{extinct}}''L. huenei'' 
*{{extinct}}''L. magnus''",Species,"*'''''Tawasaurus''''' 
*?''''",,Lufengosaurus,,,,,0,3559855,Lufengosaurus,23.82191780821918,False,False,True,False,False,False,False
236,Category:Late Jurassic dinosaurs of North America|Category:Dinosaurs of the Morrison Formation|Category:Late Jurassic dinosaurs of North America|Category:Dinosaurs of the Morrison Formation|Category:Late Jurassic dinosaurs of North America|Category:Dinosaurs of the Morrison Formation,,,,,,,,,,,,,,,,,,,,,,,,,0,44701289,Alcovasaurus,23.80821917808219,False,False,True,False,False,False,False
700,Category:Late Cretaceous dinosaurs of North America|Category:Late Cretaceous dinosaurs of North America|Category:Late Cretaceous dinosaurs of North America,,,,,,,,,,,,,,,,,,,,,,,,,0,22010031,Hesperonychus,23.791780821917808,False,False,False,True,False,False,False
1027,Category:Late Cretaceous dinosaurs of Africa|Category:Late Cretaceous dinosaurs of Africa|Category:Late Cretaceous dinosaurs of Africa,"Sallam ''et al.'', 2018",,{{fossilrange|Campanian}},,,Mansourasaurus NT.jpg,,,,,Restoration,,,''Mansourasaurus'',,,,,,Mansourasaurus,,,'''''Mansourasaurus shahinae''''',"Sallam ''et al.'', 2018",0,56443446,Mansourasaurus,23.775342465753425,False,False,False,True,False,False,False
1073,Category:Late Cretaceous dinosaurs of Europe|Category:Late Cretaceous dinosaurs of Europe|Category:Late Cretaceous dinosaurs of Europe,,,,,,,,,,,,,,,,,,,,,,,,,0,41353681,Arcovenator,23.734246575342464,False,False,False,True,False,False,False
1043,Category:Late Cretaceous dinosaurs of Europe|Category:Late Cretaceous dinosaurs of Europe|Category:Late Cretaceous dinosaurs of Europe,"Bunzel, 1871",,", {{Fossil range|85|66}}",,,Struthiosaurus austriacus.jpg,,,,,Diagrams showing the known skeletal elements and hypothetical placement of  in ''S. austriacus'',,,,,"*{{extinct}}'''''S. austriacus''''' 
*{{extinct}}'''''S. transylvanicus''''' 
*{{extinct}}'''''S. languedocensis'''''",,"*'''''Crataeomus''''' 
*'''''Danubiosaurus''''' 
*'''''Pleuropeltus'''''",,Struthiosaurus,,,{{extinct}}'''''Struthiosaurus austriacus''''',"Bunzel, ",0,4257127,Struthiosaurus,23.734246575342464,False,False,False,True,False,False,False
622,Category:Late Cretaceous dinosaurs of North America|Category:Late Cretaceous dinosaurs of North America|Category:Late Cretaceous dinosaurs of North America,,,,,,,,,,,,,,,,,,,,,,,,,0,44444228,Suskityrannus,23.71780821917808,False,False,False,True,False,False,False
